№;Дата и время;Секунда;Микросекунда
145;2023-06-03 00:11:49.743499;49;743
146;2023-06-03 00:11:49.753506;49;753
147;2023-06-03 00:11:49.763573;49;763
148;2023-06-03 00:11:49.774544;49;774
149;2023-06-03 00:11:49.784547;49;784
150;2023-06-03 00:11:49.794592;49;794
151;2023-06-03 00:11:49.805543;49;805
152;2023-06-03 00:11:49.815579;49;815
153;2023-06-03 00:11:49.825620;49;825
154;2023-06-03 00:11:49.836620;49;836
155;2023-06-03 00:11:49.847568;49;847
156;2023-06-03 00:11:49.857575;49;857
157;2023-06-03 00:11:49.867582;49;867
158;2023-06-03 00:11:49.877594;49;877
159;2023-06-03 00:11:49.887604;49;887
160;2023-06-03 00:11:49.897611;49;897
161;2023-06-03 00:11:49.908546;49;908
162;2023-06-03 00:11:49.918569;49;918
163;2023-06-03 00:11:49.928579;49;928
164;2023-06-03 00:11:49.938586;49;938
165;2023-06-03 00:11:49.948600;49;948
166;2023-06-03 00:11:49.958625;49;958
167;2023-06-03 00:11:49.968644;49;968
168;2023-06-03 00:11:49.979511;49;979
169;2023-06-03 00:11:49.989520;49;989
170;2023-06-03 00:11:49.999532;49;999
171;2023-06-03 00:11:50.009556;50;9
172;2023-06-03 00:11:50.019560;50;19
173;2023-06-03 00:11:50.029843;50;29
174;2023-06-03 00:11:50.040584;50;40
175;2023-06-03 00:11:50.050599;50;50
176;2023-06-03 00:11:50.060613;50;60
177;2023-06-03 00:11:50.070620;50;70
178;2023-06-03 00:11:50.081580;50;81
179;2023-06-03 00:11:50.092438;50;92
180;2023-06-03 00:11:50.102554;50;102
181;2023-06-03 00:11:50.112560;50;112
182;2023-06-03 00:11:50.122567;50;122
183;2023-06-03 00:11:50.132849;50;132
184;2023-06-03 00:11:50.143040;50;143
185;2023-06-03 00:11:50.153042;50;153
186;2023-06-03 00:11:50.163049;50;163
187;2023-06-03 00:11:50.173155;50;173
188;2023-06-03 00:11:50.183158;50;183
189;2023-06-03 00:11:50.193974;50;193
190;2023-06-03 00:11:50.204146;50;204
191;2023-06-03 00:11:50.215104;50;215
192;2023-06-03 00:11:50.225112;50;225
193;2023-06-03 00:11:50.235138;50;235
194;2023-06-03 00:11:50.246134;50;246
195;2023-06-03 00:11:50.256142;50;256
196;2023-06-03 00:11:50.266556;50;266
197;2023-06-03 00:11:50.277120;50;277
198;2023-06-03 00:11:50.288016;50;288
199;2023-06-03 00:11:50.298986;50;298
200;2023-06-03 00:11:50.309566;50;309
201;2023-06-03 00:11:50.319998;50;319
202;2023-06-03 00:11:50.330788;50;330
203;2023-06-03 00:11:50.340789;50;340
204;2023-06-03 00:11:50.351451;50;351
205;2023-06-03 00:11:50.361788;50;361
206;2023-06-03 00:11:50.372292;50;372
207;2023-06-03 00:11:50.382297;50;382
208;2023-06-03 00:11:50.392305;50;392
209;2023-06-03 00:11:50.402898;50;402
210;2023-06-03 00:11:50.412904;50;412
211;2023-06-03 00:11:50.422910;50;422
212;2023-06-03 00:11:50.432919;50;432
213;2023-06-03 00:11:50.442924;50;442
214;2023-06-03 00:11:50.452930;50;452
215;2023-06-03 00:11:50.462937;50;462
216;2023-06-03 00:11:50.472942;50;472
217;2023-06-03 00:11:50.482950;50;482
218;2023-06-03 00:11:50.492957;50;492
219;2023-06-03 00:11:50.502963;50;502
220;2023-06-03 00:11:50.512970;50;512
221;2023-06-03 00:11:50.523976;50;523
222;2023-06-03 00:11:50.535985;50;535
